Driver,DriverNumber,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,Deleted,DeletedReason,IsAccurate,FastF1Generated,IsPersonalBest,Time,LapStartTime,LapStartDate,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime
COL,43,Alpine,14.0,0 days 00:01:26.663000,16.0,2.0,HARD,14.0,False,,,0 days 00:00:30.410000,0 days 00:00:18.256000,0 days 00:00:37.997000,258.0,298.0,291.0,287.0,1,False,,True,False,False,0 days 01:24:23.121000,0 days 01:22:56.458000,2026-03-08 04:24:03.081,0 days 01:23:26.967000,0 days 01:23:45.223000,0 days 01:24:23.220000
COL,43,Alpine,15.0,0 days 00:01:25.600000,16.0,2.0,HARD,15.0,False,,,0 days 00:00:30.086000,0 days 00:00:18.096000,0 days 00:00:37.418000,258.0,297.0,289.0,288.0,1,False,,True,False,True,0 days 01:25:48.721000,0 days 01:24:23.121000,2026-03-08 04:25:29.744,0 days 01:24:53.306000,0 days 01:25:11.402000,0 days 01:25:48.820000
COL,43,Alpine,16.0,0 days 00:01:25.911000,16.0,2.0,HARD,16.0,False,,,0 days 00:00:30.157000,0 days 00:00:18.270000,0 days 00:00:37.484000,257.0,297.0,290.0,290.0,1,False,,True,False,False,0 days 01:27:14.632000,0 days 01:25:48.721000,2026-03-08 04:26:55.344,0 days 01:26:18.977000,0 days 01:26:37.247000,0 days 01:27:14.731000
COL,43,Alpine,17.0,0 days 00:01:25.708000,16.0,2.0,HARD,17.0,False,,,0 days 00:00:30.221000,0 days 00:00:18.119000,0 days 00:00:37.368000,258.0,300.0,291.0,292.0,12,False,,True,False,False,0 days 01:28:40.340000,0 days 01:27:14.632000,2026-03-08 04:28:21.255,0 days 01:27:44.952000,0 days 01:28:03.071000,0 days 01:28:40.439000
COL,43,Alpine,18.0,0 days 00:01:52.961000,15.0,2.0,HARD,18.0,False,,,0 days 00:00:39.656000,0 days 00:00:23.049000,0 days 00:00:50.256000,239.0,227.0,214.0,291.0,26,False,,False,False,False,0 days 01:30:33.301000,0 days 01:28:40.340000,2026-03-08 04:29:46.963,0 days 01:29:20.095000,0 days 01:29:43.144000,0 days 01:30:33.400000
COL,43,Alpine,19.0,0 days 00:01:41.676000,15.0,2.0,HARD,19.0,False,,,0 days 00:00:39.674000,0 days 00:00:24.199000,0 days 00:00:37.803000,240.0,287.0,297.0,202.0,671,False,,False,False,False,0 days 01:32:14.977000,0 days 01:30:33.301000,2026-03-08 04:31:39.924,0 days 01:31:13.074000,0 days 01:31:37.273000,0 days 01:32:15.076000
COL,43,Alpine,20.0,0 days 00:01:25.331000,15.0,2.0,HARD,20.0,False,,,0 days 00:00:29.839000,0 days 00:00:18.136000,0 days 00:00:37.356000,261.0,297.0,286.0,288.0,1,False,,True,False,True,0 days 01:33:40.308000,0 days 01:32:14.977000,2026-03-08 04:33:21.600,0 days 01:32:44.915000,0 days 01:33:03.051000,0 days 01:33:40.407000
COL,43,Alpine,21.0,0 days 00:01:24.932000,15.0,2.0,HARD,21.0,False,,,0 days 00:00:29.764000,0 days 00:00:18.096000,0 days 00:00:37.072000,263.0,298.0,292.0,293.0,1,False,,True,False,True,0 days 01:35:05.240000,0 days 01:33:40.308000,2026-03-08 04:34:46.931,0 days 01:34:10.171000,0 days 01:34:28.267000,0 days 01:35:05.339000
COL,43,Alpine,22.0,0 days 00:01:25.011000,15.0,2.0,HARD,22.0,False,,,0 days 00:00:29.789000,0 days 00:00:17.999000,0 days 00:00:37.223000,265.0,298.0,292.0,293.0,1,False,,True,False,False,0 days 01:36:30.251000,0 days 01:35:05.240000,2026-03-08 04:36:11.863,0 days 01:35:35.128000,0 days 01:35:53.127000,0 days 01:36:30.350000
COL,43,Alpine,23.0,0 days 00:01:25.136000,15.0,2.0,HARD,23.0,False,,,0 days 00:00:29.869000,0 days 00:00:18.049000,0 days 00:00:37.218000,261.0,299.0,294.0,293.0,1,False,,True,False,False,0 days 01:37:55.387000,0 days 01:36:30.251000,2026-03-08 04:37:36.874,0 days 01:37:00.219000,0 days 01:37:18.268000,0 days 01:37:55.486000
