Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,max_dt_used,mean_throttle,n_dt_gaps,calibration_set,error
BOR,15,3955.1491305555555,9559.425925925923,326,False,False,False,True,1,1.0,71.25766871165644,1,True,
BOR,16,3937.356797222222,8131.1117283950625,314,False,False,False,True,1,1.0,70.13375796178345,2,True,
BOR,17,4052.4470305555556,7052.400617283949,309,False,False,False,True,1,0.92,73.12621359223301,2,True,
BOR,18,0.0,0.0,403,True,False,False,False,126,0.96,58.8560794044665,1,False,
BOR,19,0.0,0.0,432,True,False,False,False,671,0.881,51.030092592592595,1,False,
BOR,20,4133.845286111111,10367.0,322,False,False,False,True,1,0.84,74.17080745341615,1,True,
BOR,21,4127.2645555555555,7770.682098765432,315,False,False,False,True,1,0.96,75.17142857142858,0,True,
BOR,22,4126.613724999999,7611.575925925925,305,False,False,False,True,1,1.0,75.6360655737705,2,True,
BOR,23,4091.602088888889,7571.947530864195,298,False,False,False,True,1,1.0,74.43624161073825,1,True,
BOR,24,4044.7611888888887,7645.275925925926,316,False,False,False,True,1,1.0,74.63291139240506,1,True,
BOR,25,4156.322258333334,7287.188888888888,317,False,False,False,True,1,0.72,74.10410094637224,0,True,
BOR,26,4150.448388888889,8013.812962962963,318,False,False,False,True,1,0.96,74.52201257861635,1,True,
BOR,27,4035.6442250000005,7140.074691358024,319,False,False,False,True,1,0.961,73.79937304075236,1,True,
BOR,28,4023.3562666666667,6745.703703703703,313,False,False,False,True,1,0.88,74.15015974440895,2,True,
BOR,29,4127.164052777778,8159.864197530863,313,False,False,False,True,1,0.919,73.6741214057508,0,True,
BOR,30,4161.943613888889,7830.191358024693,326,False,False,False,True,1,0.84,73.07055214723927,0,True,
BOR,31,3927.1267611111116,8527.50061728395,302,False,False,False,True,1,0.879,71.68543046357615,3,True,
BOR,32,4164.003547222223,7931.550000000001,313,False,False,False,True,1,0.84,75.50798722044729,1,True,
BOR,33,0.0,0.0,385,True,False,False,False,16,0.96,62.52467532467532,3,False,
BOR,34,0.0,0.0,345,True,False,False,False,671,0.8,69.5159420289855,0,False,
BOR,35,4197.6903555555555,7760.234567901235,310,False,False,False,True,1,0.84,75.21290322580646,1,True,
BOR,36,4210.315925000001,7100.506172839506,310,False,False,False,True,1,0.881,75.28387096774193,1,True,
BOR,37,4095.2479222222223,8043.338888888888,309,False,False,False,True,1,0.92,72.7799352750809,1,True,
