Driver,LapNumber,DriverNumber,IsAccurate,TrackStatus,PitInTime,PitOutTime,freeze_flag,yellow_flag,race_state_factor,race_state_label,thin_lap,n_raw_samples,n_in_window,n_valid_samples,error,D_lap,H_lap,max_dt_used,n_dt_gaps,mean_throttle,calibration_set,LapStartDistance,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high,EstimatedEnergyIndex
NOR,45,1,True,1,,,False,False,1.0,normal,False,314,313,313,,3862.213761111111,6880.916666666666,0.92,1,67.66453674121406,True,13.33333333333333,16718.592039304665,99557.13873137294,400.0,0.5808842234433126,0.5757722277866196,0.6996327409809666,0,0,0.5808842234433126
NOR,46,1,True,1,,,False,False,1.0,normal,False,299,298,298,,3696.4724166666665,7883.156172839506,0.52,1,65.37919463087249,True,12.579999999999998,16744.278161215887,99559.2328070887,400.0,0.5823670536313245,0.5369730485753501,0.6460829518303894,0,0,0.5823670536313245
NOR,47,1,True,1,,,False,False,1.0,normal,False,312,311,311,,3751.885222222222,8051.6518518518515,0.999,1,66.40192926045016,True,3.863333333333332,17088.060407358313,99582.5493809474,400.0,0.5854948096109017,0.5546498471334567,0.6606104977493926,0,0,0.5854948096109017
NOR,48,1,True,1,,,False,False,1.0,normal,False,306,305,305,,3819.3746555555554,6081.348765432098,1.0,0,67.3016393442623,True,19.056388888888893,16523.455177307296,99541.23008757796,400.0,0.5204727731119196,0.48234344279871044,0.5902906916317698,0,0,0.5204727731119196
NOR,49,1,True,1,,,False,False,1.0,normal,False,308,307,307,,3748.645025,7381.2870370370365,0.72,2,67.9413680781759,True,19.0625,16523.246809061704,99541.21310023806,400.0,0.5022050490791412,0.47512599295850527,0.5816786073541778,0,0,0.5022050490791412
NOR,50,1,True,1,,,False,False,1.0,normal,False,296,295,295,,3985.505933333333,6500.225308641975,0.8,1,70.55932203389831,True,9.328888888888894,16855.130067871094,99568.27007190336,400.00000000000006,0.4393322181538924,0.4209141410893223,0.5447142067487117,0,0,0.4393322181538924
NOR,51,1,True,1,,,False,False,1.0,normal,False,305,304,304,,3703.645005555555,7173.493209876544,0.8,2,66.9967105263158,True,25.066388888888888,16318.534479050968,99524.52381096056,400.0,0.41744042846449686,0.3751362588428464,0.5106247335523677,0,0,0.41744042846449686
NOR,52,1,True,1,,,False,False,1.0,normal,False,300,299,299,,3956.1843694444447,7343.544444444446,0.961,0,67.76588628762542,True,16.019166666666674,16627.014195366763,99549.67279549692,400.0,0.3837664718389416,0.3581120266199358,0.4846739176389858,0,0,0.3837664718389416
NOR,53,1,True,1,,,False,False,1.0,normal,False,307,306,306,,3783.885513888889,5267.335185185186,0.961,1,65.68300653594771,True,10.601666666666674,16811.73264508451,99564.73207229804,400.0,0.29492157954989096,0.25995759578792865,0.3993124499795563,0,0,0.29492157954989096
NOR,54,1,True,1,,,False,False,1.0,normal,False,305,304,304,,3788.649213888889,6702.922839506173,0.959,1,67.0032894736842,True,20.802777777777784,16463.909215487296,99536.37556913214,400.0,0.2520438669944693,0.2159007706353247,0.35175959853581745,0,0,0.2520438669944693
NOR,55,1,True,1,,,False,False,1.0,normal,False,308,307,307,,3869.8122527777778,8368.064814814814,0.96,0,66.61237785016287,True,1.1872222222222195,17223.2388460134,99589.12655073304,400.0,0.2573123769732031,0.21601317535637551,0.3269786636560461,0,0,0.2573123769732031
NOR,56,1,True,1,,,False,False,1.0,normal,False,314,313,313,,3763.975494444445,7192.422839506171,0.76,1,65.20447284345047,True,5.749722222222225,16992.773218557533,99577.91313847135,400.0,0.23190629689828365,0.1933378461949326,0.31189973155060496,0,0,0.23190629689828365
NOR,57,1,True,1,,,False,False,1.0,normal,False,316,315,315,,3594.028555555556,8225.938271604937,0.48,2,64.43174603174603,True,25.870833333333326,16291.105640903885,99522.28765931126,400.0,0.25144663209678036,0.2175792992865529,0.3219879658130978,0,0,0.25144663209678036
NOR,58,1,True,1,,,False,False,1.0,normal,False,299,298,298,,3826.209983333333,7724.443209876543,0.96,1,66.43959731543625,True,7.315555555555555,16923.77793350993,99573.8666282411,400.0,0.23894153629169843,0.21377409256288646,0.3312355431925949,0,0,0.23894153629169843
GAS,1,10,False,1,,,False,False,1.0,normal,False,367,366,365,,3557.133519444444,9839.445679012346,0.84,1,59.53150684931507,False,0.0,17283.209019026875,99592.0444273849,400.0,0.964018162641419,0.9213256710965799,1.0,0,8,0.964018162641419
GAS,2,10,True,1,,,False,False,1.0,normal,False,334,333,333,,3638.451411111111,7590.706172839507,0.8,1,64.61861861861861,True,15.988888888888887,16628.046565310837,99549.7569600445,400.0,0.9527469868220402,0.9223397957789006,1.0,0,1,0.9527469868220402
GAS,3,10,True,1,,,False,False,1.0,normal,False,330,329,304,,3354.0670638888887,7668.072222222221,0.881,1,63.64473684210526,True,8.659444444444446,16877.95586204736,99570.13095777176,400.0,0.9471557493542139,0.8875039213571773,1.0,0,1,0.9471557493542139
