Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
BEA,87,27,8.0,0.0,84.284,0.1290000000000049,0.9312044589344304,16575.386226879276,99545.46379596644,400.0,41,56.64861111110713,47.33055555555393,319,320
BEA,87,28,8.0,0.0,84.216,-0.068000000000012,0.9091478682814392,17246.278393062566,99590.24755060724,400.0,41,34.217222222227974,33.98194444444448,309,310
BEA,87,29,8.0,0.0,85.315,1.0990000000000038,0.8861300670095479,16830.732040568986,99566.28100883412,400.0,41,60.091111111116334,37.41083333333347,315,316
BEA,87,30,8.0,0.0,84.509,-0.8059999999999974,0.8911210847686942,17122.549570967843,99584.227467239,400.0,41,80.78250000000935,56.549583333331384,324,325
BEA,87,31,8.0,0.0,84.627,0.117999999999995,0.8927229022504408,16578.312853601466,99545.70239087653,400.0,41,66.02249999999731,54.13111111111084,303,304
BEA,87,32,8.0,0.0,85.006,0.3790000000000049,0.919162814230288,15237.11275570982,99436.36028914974,400.0,41,92.16944444444836,59.56333333333441,311,312
BEA,87,33,8.0,0.0,90.647,5.641000000000005,0.919162814230288,16782.968355908855,99562.38704724316,400.0,41,165.61055555554776,85.32249999999982,336,337
BEA,87,34,8.0,0.0,92.31,1.6629999999999967,0.919162814230288,16888.819424669844,99571.0166159008,400.00000000000006,1,3.5138888888841397,50.82694444444542,335,336
BEA,87,35,7.0,-1.0,84.914,-7.396000000000001,0.9415578388994492,17192.004965543583,99587.60685175622,400.0,41,95.96638888889449,63.492500000000746,313,314
BEA,87,36,7.0,0.0,84.598,-0.3160000000000025,0.9315761225862318,16536.175111572327,99542.26708746229,400.0,41,99.71027777777364,90.31194444444304,312,313
BEA,87,37,7.0,0.0,84.5,-0.0979999999999989,0.9406025909574032,16982.965274959868,99577.43592841527,400.0,41,76.83222222221957,58.33583333333297,306,307
BEA,87,38,8.0,1.0,85.093,0.5930000000000035,0.9514795779921236,16567.544003817886,99544.8244542656,400.0,41,100.73055555555128,52.29125000000002,328,329
BEA,87,39,8.0,0.0,84.756,-0.3370000000000033,0.9309121492225542,17114.551677047,99583.83832599154,400.0,41,20.295555555557257,33.174722222220225,313,314
BEA,87,40,7.0,-1.0,86.988,2.2319999999999998,0.9212254474858478,16913.17956683638,99573.0025903628,400.0,1,366.45111111110873,222.37083333332885,333,334
BEA,87,41,7.0,0.0,85.049,-1.938999999999993,0.8976407547270221,16794.55173610702,99563.33138891,400.0,3,312.0227777777809,405.9080555555556,328,329
BEA,87,42,7.0,0.0,84.503,-0.5460000000000065,0.8753850315215921,17086.615173895425,99582.47906244129,400.0,3,384.5238888888944,286.83527777777874,312,313
BEA,87,43,7.0,0.0,84.549,0.0460000000000064,0.87159421898285,16876.876135683837,99570.0429324651,400.0,3,479.878888888893,384.3625000000004,319,320
BEA,87,44,7.0,0.0,84.612,0.0629999999999881,0.8534974027011424,16739.589875690053,99558.85059194147,400.0,3,593.3125000000018,532.3727777777772,307,308
BEA,87,45,7.0,0.0,84.13,-0.4819999999999993,0.8039841023734762,16428.09829109706,99533.4560631287,400.0,3,757.7502777777809,669.1502777777788,312,313
BEA,87,46,7.0,0.0,84.55,0.4200000000000017,0.7867735481189547,16912.48816311237,99572.94622328048,400.0,3,895.983888888888,744.5036111111149,307,308
BEA,87,47,7.0,0.0,84.76,0.2100000000000079,0.7527150850680816,16427.93727927092,99533.44293654789,400.0,3,1038.5094444444449,876.8027777777772,314,315
BEA,87,48,7.0,0.0,84.404,-0.3560000000000087,0.739680038639728,16878.315770835205,99570.16029954064,400.0,3,1076.2116666666716,967.9084722222267,310,311
BEA,87,49,7.0,0.0,84.281,-0.1229999999999904,0.7060806335443908,17020.344905495178,99579.2546517191,400.00000000000006,3,1126.8761111111098,1054.289166666667,305,306
BEA,87,50,7.0,0.0,84.467,0.1859999999999928,0.675099695752706,16777.266643006733,99561.922211852,400.0,3,1155.0061111111108,1124.2806944444428,306,307
BEA,87,51,7.0,0.0,84.233,-0.2339999999999946,0.6526456960800733,16845.545128573838,99567.48865426902,400.0,3,1249.2708333333294,1252.1419444444437,307,308
