event_id,race_id,circuit,overtake_success,model,p_hat,fold,error_tag
australia_2026_R_00205,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.45161207985289176,australia_2026_R,other
australia_2026_R_00206,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08986377600474124,australia_2026_R,true_negative
australia_2026_R_00207,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.6128623401474856,australia_2026_R,false_positive
australia_2026_R_00208,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.09169085828313478,australia_2026_R,true_negative
australia_2026_R_00209,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.022757826080838203,australia_2026_R,true_negative
australia_2026_R_00211,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.0191010143594502,australia_2026_R,true_negative
australia_2026_R_00212,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.029978434083651338,australia_2026_R,true_negative
australia_2026_R_00213,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.016315303956965458,australia_2026_R,true_negative
australia_2026_R_00214,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.014374220310797962,australia_2026_R,true_negative
australia_2026_R_00215,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06496491245806107,australia_2026_R,true_negative
australia_2026_R_00216,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18818285626678438,australia_2026_R,true_negative
australia_2026_R_00217,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04575634173464002,australia_2026_R,true_negative
australia_2026_R_00218,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.049390989863167166,australia_2026_R,true_negative
australia_2026_R_00219,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04258073424264372,australia_2026_R,true_negative
australia_2026_R_00220,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04547241287361678,australia_2026_R,true_negative
australia_2026_R_00221,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.13710126181314344,australia_2026_R,true_negative
australia_2026_R_00222,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.041296220289062054,australia_2026_R,true_negative
australia_2026_R_00223,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.44745157741100733,australia_2026_R,other
australia_2026_R_00224,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.030033482259686356,australia_2026_R,true_negative
australia_2026_R_00225,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04722411902165369,australia_2026_R,true_negative
australia_2026_R_00226,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.1451991531908933,australia_2026_R,true_negative
australia_2026_R_00227,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03048561023560358,australia_2026_R,true_negative
australia_2026_R_00228,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.10898881171250427,australia_2026_R,true_negative
australia_2026_R_00229,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.44547412419582655,australia_2026_R,other
australia_2026_R_00230,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.019312147853818556,australia_2026_R,true_negative
australia_2026_R_00231,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.022145941461361264,australia_2026_R,true_negative
australia_2026_R_00232,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.014897768295422829,australia_2026_R,true_negative
australia_2026_R_00233,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.013950842505969674,australia_2026_R,true_negative
australia_2026_R_00234,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.14309142089607696,australia_2026_R,true_negative
australia_2026_R_00235,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18660439192003936,australia_2026_R,true_negative
australia_2026_R_00236,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.023487575381181323,australia_2026_R,true_negative
australia_2026_R_00237,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4259475237892165,australia_2026_R,other
australia_2026_R_00238,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.02341975655474574,australia_2026_R,true_negative
australia_2026_R_00239,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.590652380060322,australia_2026_R,false_positive
australia_2026_R_00240,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.16278296798564312,australia_2026_R,true_negative
australia_2026_R_00241,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5303266841681349,australia_2026_R,false_positive
australia_2026_R_00242,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.08011720437142106,australia_2026_R,false_negative
australia_2026_R_00243,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06218075050948994,australia_2026_R,true_negative
australia_2026_R_00244,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04380862050628533,australia_2026_R,true_negative
australia_2026_R_00245,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06857486123027592,australia_2026_R,true_negative
australia_2026_R_00246,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18461122797822088,australia_2026_R,true_negative
australia_2026_R_00248,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.2543281269612686,australia_2026_R,other
australia_2026_R_00249,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.020449984147392915,australia_2026_R,true_negative
australia_2026_R_00250,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5040178500380172,australia_2026_R,false_positive
australia_2026_R_00252,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.45020996365280064,australia_2026_R,other
australia_2026_R_00253,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03272698456680528,australia_2026_R,true_negative
australia_2026_R_00254,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3604392673500185,australia_2026_R,other
australia_2026_R_00255,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08106659425240388,australia_2026_R,true_negative
australia_2026_R_00256,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03796969977656444,australia_2026_R,true_negative
australia_2026_R_00257,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.01766802440352908,australia_2026_R,true_negative
australia_2026_R_00258,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.014402017366174491,australia_2026_R,true_negative
australia_2026_R_00261,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.013415427856643793,australia_2026_R,true_negative
australia_2026_R_00262,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18560331713789183,australia_2026_R,true_negative
australia_2026_R_00263,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.030921782891464154,australia_2026_R,true_negative
australia_2026_R_00264,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.0646740652616008,australia_2026_R,true_negative
australia_2026_R_00265,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08285541426229161,australia_2026_R,true_negative
australia_2026_R_00266,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.05891192988729132,australia_2026_R,true_negative
australia_2026_R_00267,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03831388176762002,australia_2026_R,true_negative
